STATE,SCODE,RC,RN,SFYG,ECOGPCD,ECOVALUE,SURRATIO,STRMFLOW,WWSURF,WWADJ,WWWGHT,ENVIND,AGGOAL
 Arizona ,4,10, Arizona North,90,0.52,1078,0.00138,82385637,186655.9,0,1.13,95.96262216,9.766817994
 Arizona ,4,23, Arizona Southeast,220,0.52,1078,0.00138,82385637,186655.9,0,1.13,95.96262216,9.766817994
 Arizona ,4,24, Arizona Central North,70,0.52,1078,0.00138,82385637,186655.9,0,1.13,95.96262216,9.766817994
 Arizona ,4,9, Arizona West,400,0.52,1078,0.00138,82385637,186655.9,0,1.13,95.96262216,11.61165599
 Arizona ,4,8, Arizona Central South,1324,0.52,1078,0.00138,82385637,186655.9,0,1.13,95.96262216,11.21288813
 California ,6,4, California North,2970,0.27,2509,0.02142,879593,122031.25,0,3.38,72.39158198,5.156748478
 California ,6,2, California Southeast,417,0.27,2509,0.02142,879593,122031.25,0,3.38,72.39158198,5.400365748
 California ,6,1, California Southwest,615,0.27,2509,0.02142,879593,122031.25,0,3.38,72.39158198,5.013829269
 Colorado ,8,17, Colorado Front Range,45,8.126,75,9.02137,527,18694.87,0,3.83,64.89654641,55.99708141
 Colorado ,8,19, Colorado Not In Basin,470,8.126,75,9.02137,527,18694.87,0,3.83,64.89654641,51.33065796
 Colorado ,8,18, Colorado In Basin,41,8.126,75,9.02137,527,18694.87,0,3.83,64.89654641,51.33065796
 Nevada ,32,7, Nevada Not In Basin,269,8.126,75,9.02137,527,186655.9,0,1.13,95.96262216,5.344507175
 Nevada ,32,5, Nevada South,8,8.126,75,9.02137,527,186655.9,0,1.13,95.96262216,3.231413218
 Nevada ,32,6, Nevada In Basin,84,8.126,75,9.02137,527,186655.9,0,1.13,95.96262216,5.131798445
 New Mexico ,35,20, New Mexico Central,56,8.126,75,9.02137,527,186655.9,0,1.13,95.96262216,5.711284571
 New Mexico ,35,25, New Mexico Gila,39,8.126,75,9.02137,527,186655.9,0,1.13,95.96262216,3.550553098
 New Mexico ,35,22, New Mexico Not In Basin,365,8.126,75,9.02137,527,186655.9,0,1.13,95.96262216,5.179929555
 New Mexico ,35,21, New Mexico In Basin,2,8.126,75,9.02137,527,186655.9,0,1.13,95.96262216,5.456453581
 Utah ,49,13, Utah Not In Basin,200,6.764,119,0.2174,12463,186655.9,0,1.13,95.96262216,16.85193662
 Utah ,49,12, Utah In Basin,46,6.764,119,0.2174,12463,186655.9,0,1.13,95.96262216,16.85193662
 Utah ,49,11, Utah Salt Lake,119,6.764,119,0.2174,12463,186655.9,0,1.13,95.96262216,16.85193662
 Wyoming ,56,16, Wyoming Not In Basin,155,8.126,75,9.02137,527,18694.87,0,3.83,64.89654641,10.34256562
 Wyoming ,56,15, Wyoming In Basin,11,8.126,75,9.02137,527,18694.87,0,3.83,64.89654641,18.63031366
 Wyoming ,56,14, Wyoming Southwest,13,8.126,75,9.02137,527,18694.87,0,3.83,64.89654641,18.63031366
