Year,UB1,UB2,UB3
2000,4537,4487,4220
2001,4567,4517,4220
2002,4597,4547,3774
2003,4627,4577,3789
2004,4657,4607,3551
2005,4687,4637,3644
2006,4717,4667,4281
2007,4747,4697,4549
2008,4777,4727,4653
2009,4807,4757,4584
2010,4837,4787,4428
2011,4867,4817,4486
2012,4897,4847,4823
2013,4919,4869,4083
2014,4942,4892,3900
2015,4964,4914,3638
2016,4986,4936,4366
2017,5009,4959,4680
2018,5031,4981,4817
2019,5054,5004,5226
2020,5076,5026,5273
2021,5101,5051,5313
2022,5126,5076,5346
2023,5151,5101,5374
2024,5176,5126,5396
2025,5201,5151,5415
2026,5227,5177,5431
2027,5252,5202,5444
2028,5277,5227,5457
2029,5302,5252,5470
2030,5327,5277,5483
2031,5341,5291,5498
2032,5354,5304,5515
2033,5368,5318,5533
2034,5382,5332,5552
2035,5395,5345,5572
2036,5409,5359,5594
2037,5423,5373,5616
2038,5437,5387,5638
2039,5450,5400,5662
2040,5464,5414,5685
2041,5474,5424,5709
2042,5483,5433,5732
2043,5493,5443,5755
2044,5502,5452,5778
2045,5512,5462,5799
2046,5522,5472,5820
2047,5531,5481,5839
2048,5541,5491,5857
2049,5550,5500,5874
2050,5560,5510,5888
2051,5561,5511,5900
2052,5563,5513,5911
2053,5564,5514,5919
2054,5565,5515,5926
2055,5566,5516,5932
2056,5568,5518,5936
2057,5569,5519,5940
2058,5570,5520,5943
2059,5572,5522,5946
2060,5573,5523,5948
2061,5574,5524,5950
2062,5575,5525,5952
2063,5576,5526,5954
2064,5577,5527,5956
2065,5578,5528,5958
2066,5579,5529,5959
2067,5580,5530,5960
2068,5581,5531,5961
2069,5582,5532,5962
2070,5583,5533,5962
2071,5584,5534,5962
2072,5585,5535,5962
2073,5586,5536,5962
2074,5587,5537,5962
2075,5588,5538,5962
2076,5589,5539,5962
2077,5590,5540,5962
2078,5591,5541,5962
2079,5592,5542,5962
2080,5593,5543,5962
2081,5594,5544,5962
2082,5595,5545,5962
2083,5596,5546,5962
2084,5597,5547,5962
2085,5598,5548,5962
2086,5599,5549,5962
2087,5600,5550,5962
2088,5601,5551,5962
2089,5602,5552,5962
2090,5603,5553,5962
2091,5604,5554,5962
2092,5605,5555,5962
2093,5606,5556,5962
2094,5607,5557,5962
2095,5608,5558,5962
2096,5609,5559,5962
2097,5610,5560,5962
2098,5611,5561,5962
2099,5612,5562,5962
2100,5613,5563,5962
